"x","y","dist","rel.angle","behav_fine","behav_coarse","dt","id","obs","time1","SL","TA","tseg"
-62.2037341333721,-146.529866888443,1.52127456878709,-2.09976754770062,"Encamped","Encamped",3600,1,1191,1191,2,2,4
-69.649710915615,-148.781058777905,7.7788453619337,-0.205023843420521,"Transit","Encamped",3600,1,1192,1192,4,4,4
-69.3588882133438,-147.245539103809,1.56281749212536,-2.05157530027567,"Encamped","Encamped",3600,1,1193,1193,2,2,4
-69.8894024958171,-148.129978941569,1.03134825860376,2.78847737011456,"Encamped","Encamped",3600,1,1194,1194,1,8,4
-74.7871109370466,-155.744282386491,9.05346148866031,-0.0313024476163521,"Transit","Encamped",3600,1,1195,1195,4,4,4
-83.1870646623622,-165.971226342759,13.2344098951212,-0.116029902034334,"Transit","Encamped",3600,1,1196,1196,5,4,4
-82.7270082935497,-165.463358068384,0.685260568398368,3.09317813449362,"Encamped","Encamped",3600,1,1197,1197,1,8,4
-82.5987166528241,-168.369914012923,2.90938588087189,-2.36144060003376,"Encamped","Encamped",3600,1,1198,1198,3,1,4
-82.8358160719728,-168.251265478254,0.265129419981748,-2.07888741024934,"Encamped","Encamped",3600,1,1199,1199,1,2,4
-82.4469458112174,-167.93525108393,0.501084002059171,-1.99520633656135,"Encamped","Encamped",3600,1,1200,1200,1,2,4
-83.3968842879099,-168.617690351683,1.16966083275084,3.0821582560945,"Encamped","Encamped",3600,1,1201,1201,1,8,4
-85.1570966827339,-170.217933241603,2.37889154473973,0.114859632083372,"Encamped","Encamped",3600,1,1202,1202,2,5,4
-81.5553749367371,-166.417703538592,5.23585192029316,-3.06721314078606,"Encamped","Encamped",3600,1,1203,1203,3,1,4
-82.3485880907754,-167.315014532446,1.19764524272839,-3.10690494943912,"Encamped","Encamped",3600,1,1204,1204,1,1,4
-81.1154818316037,-165.458518910148,2.22870523892671,-3.00399523448434,"Encamped","Encamped",3600,1,1205,1205,2,1,4
-81.8693395978451,-166.558710912029,1.33368810923891,3.12716608919099,"Encamped","Encamped",3600,1,1206,1206,2,8,4
-88.1965394283454,-174.002578509926,9.76957637311399,-0.103759526203497,"Transit","Encamped",3600,1,1207,1207,4,4,4
-89.5760946129328,-173.980121404562,1.37973795660743,-0.882586170885626,"Encamped","Encamped",3600,1,1208,1208,2,3,4
-88.4545226516011,-173.956657243318,1.12181737876907,-3.1043978499479,"Encamped","Encamped",3600,1,1209,1209,1,1,4
-77.7477555614885,-171.54830938407,10.974288174322,0.200336729104916,"Transit","Encamped",3600,1,1210,1210,4,5,4
-79.2455377983728,-171.088195585182,1.56686193937209,2.62229204736042,"Encamped","Encamped",3600,1,1211,1211,2,8,4
-76.4475729074008,-171.760923336682,2.87770223594259,-3.07950243806719,"Encamped","Encamped",3600,1,1212,1212,3,1,4
-78.1749929153606,-172.112251341024,1.76278508347856,-2.70499032502738,"Encamped","Encamped",3600,1,1213,1213,2,1,4
-77.473710597244,-171.999460663078,0.710294746379498,3.10041548214733,"Encamped","Encamped",3600,1,1214,1214,1,8,4
-78.8702871308024,-172.174766061123,1.40753614400115,3.10699540346896,"Encamped","Encamped",3600,1,1215,1215,2,8,4
-75.881943446841,-171.372944338504,3.0940452563489,-3.00432263053939,"Encamped","Encamped",3600,1,1216,1216,3,1,4
-77.5019178240532,-173.498319554164,2.67236539233796,-2.48420580449383,"Encamped","Encamped",3600,1,1217,1217,3,1,4
-77.3394307467966,-172.754039414005,0.761810328960157,-2.70526713444849,"Encamped","Encamped",3600,1,1218,1218,1,1,4
-78.8084852622306,-179.485673172173,6.89006634390584,-3.14151351472219,"Encamped","Encamped",3600,1,1219,1219,3,1,4
-79.510096175643,-176.554275628762,3.01419133953709,-2.69180569974374,"Encamped","Encamped",3600,1,1220,1220,3,1,4
-84.241253401004,-168.42145170144,9.40886144673722,0.291957765327745,"Transit","Encamped",3600,1,1221,1221,4,5,4
-84.3390133152399,-169.221426228836,0.805925707068652,2.49310989993613,"Encamped","Encamped",3600,1,1222,1222,1,8,4
-83.7331827506959,-168.563602591081,0.894294476850651,2.51891716834684,"Encamped","Encamped",3600,1,1223,1223,1,8,4
-84.5150369069995,-168.636726835057,0.785266245795884,2.40832809649925,"Encamped","Encamped",3600,1,1224,1224,1,8,4
-82.4249483733783,-167.941061582168,2.20282096922358,-2.91354151326987,"Encamped","Encamped",3600,1,1225,1225,2,1,4
-83.7682633318005,-168.683557853085,1.53486018576484,-2.95795915457607,"Encamped","Encamped",3600,1,1226,1226,2,1,4
-82.3464821199924,-167.561429447735,1.81125204550433,-2.97838649687227,"Encamped","Encamped",3600,1,1227,1227,2,1,4
-83.7568626251182,-169.049294523327,2.05010137612868,-2.99761209010784,"Encamped","Encamped",3600,1,1228,1228,2,1,4
