,x,y,SL,TA,behav_fine,behav_coarse,HMM state,BCPA fine cluster,BCPA coarse cluster
3949,-144.402834,-247.433038,0.170200669,-1.336011725,Resting,Resting,Resting,74,30
3950,-145.5822294,-248.2809231,1.45254354,3.040413698,Resting,Resting,Resting,74,30
3951,-145.5141625,-248.3037397,0.071789271,2.194847067,Resting,Resting,Resting,74,30
3952,-146.0039717,-247.4736659,0.963813033,2.427326529,Exploratory,Resting,Resting,74,30
3953,-146.0039717,-247.4736659,1.99E-09,3.036181607,Resting,Resting,Resting,74,30
3954,-146.038975,-247.4847159,0.036706071,-1.692696861,Resting,Resting,Resting,74,30
3955,-145.9819395,-247.4725544,0.058317733,3.045890784,Resting,Resting,Resting,74,30
3956,-145.9819575,-247.4725585,1.85E-05,-3.12910881,Resting,Resting,Resting,74,30
3957,-166.2609366,-249.5674428,20.38689614,-0.119625086,Transit,Resting,Transit,74,30
3958,-163.9587417,-248.8430253,2.413479205,-2.939675765,Resting,Resting,Resting,74,30
3959,-164.0802128,-248.8827551,0.127803267,-3.130342521,Resting,Resting,Resting,75,30
3960,-163.6665712,-248.664169,0.467845368,-2.971555261,Resting,Resting,Resting,75,30
3961,-163.6669848,-248.6644221,0.000484931,-3.078662374,Resting,Resting,Resting,75,30
3962,-163.5643105,-248.325527,0.354107115,-2.414046431,Resting,Resting,Resting,75,30
3963,-163.5643103,-248.3255279,9.21E-07,-2.614914351,Resting,Resting,Resting,75,30
3964,-163.5643126,-248.3255191,9.16E-06,-3.12075161,Resting,Resting,Resting,75,30
3965,-161.8818479,-248.8617791,1.765860277,-2.132693222,Resting,Resting,Resting,75,30
3966,-154.3730406,-253.3210748,8.73312683,-0.227349075,Transit,Resting,Transit,75,30
3967,-154.3836594,-253.3115725,0.01424965,2.947526061,Resting,Resting,Resting,75,30
3968,-154.2923275,-253.2522512,0.108906047,-1.835589686,Resting,Resting,Resting,75,30
3969,-154.3040975,-253.2496894,0.012045605,2.351242226,Resting,Resting,Resting,75,30
3970,-156.0693118,-257.2364319,4.360057048,1.368288176,Exploratory,Resting,Resting,75,30
3971,-156.004342,-257.1669044,0.095158572,2.806894412,Resting,Resting,Resting,75,30
3972,-156.038627,-257.2241482,0.06672569,-2.929699907,Resting,Resting,Resting,75,30
3973,-156.0350094,-257.2187628,0.006487649,3.089713184,Resting,Resting,Resting,75,30
3974,-156.7841043,-256.5309316,1.016983263,1.419518717,Exploratory,Resting,Resting,75,30
3975,-156.8601187,-256.6712675,0.159600582,1.81716703,Resting,Resting,Resting,75,30
3976,-156.8023998,-256.6115916,0.083022161,2.869281002,Resting,Resting,Resting,75,30
3977,-156.8263973,-256.6293823,0.029872869,2.977473661,Resting,Resting,Resting,75,30
3978,-156.8263692,-256.6293667,3.22E-05,3.01081319,Resting,Resting,Resting,75,30
3979,-150.7059484,-255.1208238,6.303590451,-0.265508056,Transit,Resting,Transit,75,30
3980,-150.8795766,-255.1696491,0.180362608,-3.109126169,Resting,Resting,Resting,75,30
3981,-150.8783197,-255.1689713,0.001428033,-2.921197875,Resting,Resting,Resting,75,30
3982,-151.76725,-255.5987956,0.987393596,3.097456073,Exploratory,Resting,Resting,75,30
3983,-151.1093394,-255.0888955,0.832372766,-2.932649028,Resting,Resting,Resting,75,30
3984,-148.9873279,-254.046622,2.364163117,-0.202767828,Exploratory,Resting,Exploratory,75,30
3985,-145.3860021,-246.1186889,8.707564,0.687846578,Transit,Resting,Transit,75,30
3986,-144.884891,-246.3384099,0.547165096,-1.557629616,Resting,Resting,Resting,75,30
3987,-144.9009618,-246.3344831,0.016543631,-2.968015137,Resting,Resting,Resting,75,30
3988,-144.9009617,-246.3344831,9.67E-08,-2.760597505,Resting,Resting,Resting,75,30
