"id","bin","behav","prop","param"
"5_1",3,"1",0.10831771820652,"Turning Angle"
"5_1",4,"1",0.15004300490378,"Turning Angle"
"5_1",5,"1",0.119869747138373,"Turning Angle"
"5_1",6,"1",0.101198744732228,"Turning Angle"
"5_1",7,"1",0.12240730819123,"Turning Angle"
"5_1",8,"1",0.131176148986034,"Turning Angle"
"5_1",1,"2",0.0262631861375754,"Turning Angle"
"5_1",2,"2",0.00345845489261496,"Turning Angle"
"5_1",3,"2",0.0485654677413622,"Turning Angle"
"5_1",4,"2",0.360956289565872,"Turning Angle"
"5_1",5,"2",0.450623634219868,"Turning Angle"
"5_1",6,"2",0.0774931851429645,"Turning Angle"
"5_1",7,"2",0.00180408643199967,"Turning Angle"
"5_1",8,"2",0.0308356958677435,"Turning Angle"
"5_1",1,"3",0.0610068052110891,"Turning Angle"
"5_1",2,"3",0.0811900117491786,"Turning Angle"
"5_1",3,"3",0.0184099271913925,"Turning Angle"
"5_1",4,"3",0.00666622504692869,"Turning Angle"
"5_1",5,"3",0.0257002013000956,"Turning Angle"
"5_1",6,"3",0.00154508208477697,"Turning Angle"
"5_1",7,"3",0.035996336120666,"Turning Angle"
"5_1",8,"3",0.769485411295872,"Turning Angle"
"1_2",1,"1",0.0324877472080487,"Step Length"
"1_2",2,"1",0.283990854073659,"Step Length"
"1_2",3,"1",0.489749637585914,"Step Length"
"1_2",4,"1",0.1346486248749,"Step Length"
"1_2",5,"1",0.0591231362574784,"Step Length"
"1_2",1,"2",0.623126353391253,"Step Length"
"1_2",2,"2",0.354351974405716,"Step Length"
"1_2",3,"2",0.0105774752068825,"Step Length"
"1_2",4,"2",0.00208360764169724,"Step Length"
"1_2",5,"2",0.00986058935445121,"Step Length"
"1_2",1,"3",0.000690343945586054,"Step Length"
"1_2",2,"3",0.000342932955664585,"Step Length"
"1_2",3,"3",0.0114745350030572,"Step Length"
"1_2",4,"3",0.556672028764385,"Step Length"
"1_2",5,"3",0.430820159331307,"Step Length"
"1_2",1,"1",0.0976160699690952,"Turning Angle"
"1_2",2,"1",0.0796386602039845,"Turning Angle"
"1_2",3,"1",0.111512170857354,"Turning Angle"
"1_2",4,"1",0.185301315019357,"Turning Angle"
"1_2",5,"1",0.17589444075904,"Turning Angle"
"1_2",6,"1",0.0454489912105651,"Turning Angle"
"1_2",7,"1",0.127668192969686,"Turning Angle"
"1_2",8,"1",0.176920159010919,"Turning Angle"
"1_2",1,"2",0.489232440397663,"Turning Angle"
"1_2",2,"2",0.0327364073209709,"Turning Angle"
"1_2",3,"2",0.0101723101325125,"Turning Angle"
"1_2",4,"2",0.0036634568150526,"Turning Angle"
"1_2",5,"2",0.00199575021606075,"Turning Angle"
"1_2",6,"2",0.0304652236341524,"Turning Angle"
"1_2",7,"2",0.0315830865163434,"Turning Angle"
"1_2",8,"2",0.400151324967244,"Turning Angle"
"1_2",1,"3",0.000689976846997582,"Turning Angle"
"1_2",2,"3",0.0229683738492871,"Turning Angle"
"1_2",3,"3",0.0433230640379703,"Turning Angle"
"1_2",4,"3",0.431125264643709,"Turning Angle"
"1_2",5,"3",0.423116315495806,"Turning Angle"
"1_2",6,"3",0.0656529751370373,"Turning Angle"
"1_2",7,"3",0.0113664377465408,"Turning Angle"
"1_2",8,"3",0.00175759224265183,"Turning Angle"
"2_2",1,"1",0.0383020878368493,"Step Length"
"2_2",2,"1",0.241746012326098,"Step Length"
"2_2",3,"1",0.602151367228821,"Step Length"
"2_2",4,"1",0.0803719963571544,"Step Length"
"2_2",5,"1",0.0374285362510778,"Step Length"
"2_2",1,"2",0.593562889155134,"Step Length"
"2_2",2,"2",0.378945739729371,"Step Length"
"2_2",3,"2",0.000278859464698005,"Step Length"
"2_2",4,"2",0.0156182127902452,"Step Length"
"2_2",5,"2",0.0115942988605522,"Step Length"
"2_2",1,"3",0.000624989240268735,"Step Length"
"2_2",2,"3",0.000207595266206892,"Step Length"
"2_2",3,"3",0.000642287830577534,"Step Length"
"2_2",4,"3",0.567187004003582,"Step Length"
"2_2",5,"3",0.431338123659365,"Step Length"
"2_2",1,"1",0.125044638566846,"Turning Angle"
"2_2",2,"1",0.105422167464069,"Turning Angle"
"2_2",3,"1",0.113980559467788,"Turning Angle"
"2_2",4,"1",0.140216361003349,"Turning Angle"
"2_2",5,"1",0.131016295520487,"Turning Angle"
"2_2",6,"1",0.121169584024856,"Turning Angle"
"2_2",7,"1",0.121379407047929,"Turning Angle"
"2_2",8,"1",0.141770986904676,"Turning Angle"
"2_2",1,"2",0.438585701833231,"Turning Angle"
"2_2",2,"2",0.0352580222618748,"Turning Angle"
"2_2",3,"2",0.000848546126809164,"Turning Angle"
"2_2",4,"2",0.0311325716680524,"Turning Angle"
"2_2",5,"2",0.0116658317786698,"Turning Angle"
"2_2",6,"2",0.00471089687582385,"Turning Angle"
"2_2",7,"2",0.0380907680198432,"Turning Angle"
"2_2",8,"2",0.439707661435696,"Turning Angle"
"2_2",1,"3",0.00380102610633158,"Turning Angle"
"2_2",2,"3",0.00916388890663863,"Turning Angle"
"2_2",3,"3",0.0520320379559141,"Turning Angle"
"2_2",4,"3",0.468817300040538,"Turning Angle"
"2_2",5,"3",0.409730743561582,"Turning Angle"
"2_2",6,"3",0.0460596370333414,"Turning Angle"
"2_2",7,"3",0.0092708723037053,"Turning Angle"
"2_2",8,"3",0.0011244940919495,"Turning Angle"
"3_2",1,"1",0.0428547535866716,"Step Length"
"3_2",2,"1",0.234187810983496,"Step Length"
"3_2",3,"1",0.601268779858034,"Step Length"
"3_2",4,"1",0.0839984420635188,"Step Length"
"3_2",5,"1",0.037690213508279,"Step Length"
"3_2",1,"2",0.567204833119578,"Step Length"
"3_2",2,"2",0.365698617234096,"Step Length"
"3_2",3,"2",0.00193241440121298,"Step Length"
